Nombre,País,Inicio actividades,Nº contacto
K PRODUCCIONES S.A.,ARGENTINA,1994-07-17,54989688585
Actitud creaciones,CHILE,1987-09-26,56945716004
Alva producciones ltda,CHILE,1987-08-06,56929039874
Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,CHILE,1998-08-03,56962720080
Eventlocations Munchen,ALEMANIA,2005-11-04,4968413577
Horwath Productions INC.,ESTADOS UNIDOS,1985-04-07,166739809
AV Company,AUSTRALIA,1988-03-30,6177546140
Ecopass,CHILE,1999-02-12,56960875261
Litmind,ALEMANIA,1982-07-27,4921039439
Glamour,CHILE,1995-01-04,56966710743
Beone - entertainment limitada,CHILE,2001-10-17,56949887315
Backstage rockstore s.a.,CHILE,2006-11-21,56941637925
Revelation,ESTADOS UNIDOS,1987-04-26,156119884
Agencia 360,BRASIL,2001-08-23,55981319725
Grandes Eventos,ESPAÑA,2001-03-05,34986537886
Ditecsur,BRASIL,1994-12-28,55954347705
Expat,AUSTRALIA,1985-05-01,6143967797
Apparcel producciones limitada,CHILE,1988-07-03,56960436244
Merci entertainment spa ,CHILE,1985-06-13,56970483595
Audio Level Eventos,COLOMBIA,1993-05-23,57945999780
Rocko Saroni Eventos,COLOMBIA,1999-02-23,57995344929
Xceed,BELGICA,1992-11-10,3228194846
Dives eirl - productora de evento,CHILE,1991-01-27,56999613501
Blackgaton,BRASIL,2005-05-19,55987249505
CK Events Germany,ALEMANIA,2000-07-20,4957837295
Entertainment group,CHILE,1997-07-11,56935819988
Litmind,BELGICA,1992-02-20,3298627526
Producciones Walter Beat,COLOMBIA,1983-09-01,57916262938
Hartmann Studios,ESTADOS UNIDOS,1998-06-25,182398718
Productora de eventos moviefan limitada,CHILE,2010-10-13,56942080958
Andres gardeweg producciones e.i.r.l,CHILE,2002-05-21,56910425417
Meta proyectos sa,CHILE,1986-09-13,56940929599
Agosin eventos,CHILE,2000-05-27,56969057647
Comercial visto bueno producciones limitada,CHILE,1984-02-17,56987858010
Comercial caupolican limitada,CHILE,1988-12-04,56995147821
Eventos F.C,COLOMBIA,1997-04-19,57989921001
MD+,ARGENTINA,1993-06-21,54977219062
Carpas karen ltda,CHILE,2007-10-03,56968719305
Onlygroundmusic,COLOMBIA,1983-01-27,57968968795
GJ COMUNICACIONES,COLOMBIA,2000-04-15,57975125182
GL events,AUSTRALIA,2006-01-10,6127628376
K INTERNATIONAL ,ARGENTINA,1987-05-12,54995547149
Sonnica producciones,CHILE,1984-12-06,56974792305
Yataco,CANADA,2009-05-07,1487223027
Europages,ALEMANIA,2009-03-02,4958133005
Colors producciones limitada,CHILE,2005-08-23,56948771726
CONTENIDOS Y ENTRETENIMIENTOS S.A. ,ARGENTINA,1994-03-01,54957987145
Gn Producciones,COLOMBIA,2002-10-20,57974815035
CSI DMC,ESTADOS UNIDOS,2009-07-26,130566773
Energika eventos limitada,CHILE,1993-09-11,56937421120
Lotus producciones limitada,CHILE,2009-02-25,56991701110
Eventos luis maturana ortega e.i.r.l,CHILE,1987-01-15,56926172560
MCA,AUSTRALIA,1996-08-16,6178001589
Cultura ciudadana,CHILE,1999-11-14,56955784400
Grupo previa s.a.,CHILE,1986-12-03,56980793306
manatua.nz,NUEVA ZELANDA,2004-09-25,6436087029
Mundo Epika,BRASIL,1997-09-16,55922519509
Lets Dance,NUEVA ZELANDA,2005-12-26,6477349795
Comercial cueto balmaceda limitada,CHILE,2001-02-05,56946319019
Productora babilonia limitada,CHILE,1981-12-12,56968204722
T4F ENTRETENIMIENTOS ARGENTINA ,ARGENTINA,1985-03-12,54931160829
Entretenciones jovi limitada,CHILE,2009-07-14,56946191670
Event Management NZ,NUEVA ZELANDA,1987-10-28,6445721253
IndyRock,ESPAÑA,1994-05-25,34911917911
LA CRYPTA S.A. ,ARGENTINA,1981-08-11,54996544614
Canada Eventos,CANADA,2007-10-04,1457882270
Noix producciones limitada,CHILE,1982-03-27,56953718355
Productora energy in motion limitada,CHILE,2001-03-15,56935087505
MGC,ALEMANIA,1990-07-24,4985708353
TONICAS PRODUCCIONES ,ARGENTINA,1991-04-04,54969001174
ARIEL DIWAN PRODUCCIONES S.R.L. ,ARGENTINA,2002-06-09,54995594838
Yataco,BRASIL,1995-06-04,55959997398
Trimade eventos limitada ,CHILE,1985-06-06,56930524173
Huma Producciones,COLOMBIA,1993-12-29,57997410324
Ultrabeatman Entretenimiento Puro,BRASIL,2006-07-02,55946667054
Urban Music,BRASIL,1997-12-04,55940395819
Capsule producciones spa,CHILE,1992-09-07,56936344167
FEG ENTRETENIMIENTOS ,ARGENTINA,1980-05-27,54942915097
Global Journey,BELGICA,1995-05-28,3249809958
Sydney WorldPride,AUSTRALIA,1994-11-10,6136289616
Producciones y eventos empire digital limitada,CHILE,2005-12-13,56939058051
LINO PATALANO ,ARGENTINA,1994-08-13,54985244788
YouTOOProject,AUSTRALIA,2002-11-10,6197338356
Centro de eventos dona sofia,CHILE,1987-01-02,56970591810
EL VASCO PRODUCCIONES ,ARGENTINA,2009-01-21,54932741531
Freedom Eventos,COLOMBIA,1995-07-27,57956812388
Privadate,COLOMBIA,2003-03-22,57930188930
Millie Millgate,AUSTRALIA,1990-07-09,6145268664
Sociedad comercial metapega producciones limitada,CHILE,1996-05-28,56911866081
El trebol,CHILE,1991-08-23,56911768392
Productora chile espectaculos,CHILE,2005-11-25,56915189726
Tolten eventos,CHILE,1983-11-13,56994508547
BRL Eventos,BRASIL,2010-10-15,55946915045
C&m musicos - musica y asesorias musicales,CHILE,2010-04-17,56982842595
Carlos alberto perez alegria productora de eventos e.i.r.l,CHILE,1980-09-12,56910378232
Producciones musicales massivo reccords limitada,CHILE,1985-05-08,56921335246
KahnEvents GmbH,ALEMANIA,1983-11-05,4948350929
Actividades de entretenimiento n.c. p fabiola patricia fabres cerda em ,CHILE,2010-09-11,56961071697
Recreo producciones spa,CHILE,2001-05-10,56986784895
Eventos mudness limitada,CHILE,2005-08-13,56937637012
Kibon video,CHILE,2001-03-23,56992881968
Centro de eventos aravena malloco,CHILE,2001-04-11,56968775108
Mayam Producciones,CANADA,1998-05-02,1877868821
Iragons Party,COLOMBIA,1995-05-03,57928123436
Globscorp,BRASIL,1990-05-17,55982981217
ARTES Y EVENTOS INTERNACIONALES S.A. ,ARGENTINA,1994-08-18,54944396477
G & t business group spa,CHILE,1985-04-01,56963587382
Alto la torre,CHILE,2003-07-16,56911128539
Universal circus,CHILE,2002-07-29,56975740091
CMG Audio Visual,AUSTRALIA,1999-07-01,6147759107
Queenstown Event Company,NUEVA ZELANDA,2010-05-23,6495091750
Club providencia,CHILE,1994-02-25,56978193322
Factor Eventos,COLOMBIA,1999-01-19,57996885255
PIEDRA MALA PRODUCCIONES ,ARGENTINA,1982-08-24,54975092425
Producciones seven time entertainment group limitada,CHILE,1993-03-21,56931242846
Bierlinerin,ALEMANIA,2009-10-09,4954523627
The Imagos,ESTADOS UNIDOS,1980-02-27,124187449
DG Medios y espectaculos s.a.,CHILE,2005-09-17,56916238624
Sinstress Eventos,COLOMBIA,1995-09-12,57949881782
UN PLAN PRODUCCIONES ,ARGENTINA,2004-12-29,54917532684
Animationphoenix,COLOMBIA,2003-10-04,57972352799
Palma y compania limitada,CHILE,2008-10-05,56966913535
Venue Hire Sydney,AUSTRALIA,1982-08-24,6136093629
GRUS ,ARGENTINA,2007-01-19,54981582961
Wow.cl,CHILE,1991-06-18,56934542284
Time for fun (t4f),CHILE,2004-04-09,56910802591
BLAO,ARGENTINA,1980-07-01,54928648174
EventsEye,CANADA,2001-08-03,1705851779
ATOMIC FILMS,ARGENTINA,1999-10-30,54940539638
Yellow House,CHILE,1989-09-06,56958868610
Club de la union,CHILE,2000-11-16,56991030024
Glovox producciones limitada,CHILE,1990-06-27,56932942269
Weise y asociados limitada,CHILE,2000-01-17,56966193097
Los Angeles AV Production,ESTADOS UNIDOS,2008-08-07,129530188
X Producciones,CHILE,1987-07-29,56948374098
T-entertainment multi producciones  (sebastian torres cortes e.i.r.l).,CHILE,1999-12-29,56988565029
Lotus festival s.a.,CHILE,1999-03-22,56950372617
Nikkita producciones spa,CHILE,1993-12-07,56996308812
Vision world producciones limitada,CHILE,2010-2-27,56938300005
Street machine producciones s.a.,CHILE,1996-09-25,56974818372
Live Nation,ESPAÑA,2003-05-06,34997188733
Nachhaltige Events,ALEMANIA,1998-10-19,4972642958
AVANT GARDE RP,COLOMBIA,1984-04-18,57950600008
Top Brand,COLOMBIA,2001-08-29,57917249010
Planet Events,ESPAÑA,2007-02-13,34984529788
Cream entertainment group spa,CHILE,1984-11-14,56961661911
Eveerlast Productions INC.,ESTADOS UNIDOS,1983-06-03,151359131
Fg producciones,CHILE,1987-05-26,56958942074
903,COLOMBIA,1987-08-25,57950601431
Dedalo producciones,CHILE,1984-06-12,56991289186
Dreams - eventos,CHILE,2001-03-01,56924340198
PRELUDIO PRODUCCIONES S.A. ,ARGENTINA,1981-06-26,54934555158
Event Production Company,ESTADOS UNIDOS,2003-12-16,114142196
Tyg Eventos y Producciones,COLOMBIA,1992-06-24,57991126789
Top Bruselas,BELGICA,1993-05-29,3259496452
PALERMO FILMS S.A. ,ARGENTINA,2005-05-29,54919305242
FMG PRODUCCIONES ,ARGENTINA,2008-07-14,54986502163
Corral y asociados limitada,CHILE,2008-04-30,56931452617
Eventos comunidad ombligo limitada,CHILE,2002-06-06,56938037004
Ibolele Producciones,ESPAÑA,1983-10-21,34969809830
Leading Event Agency,NUEVA ZELANDA,2003-09-07,6487891147
Torres petronas spa,CHILE,1993-03-06,56975727061
Eventos Toronto Shaddai,CANADA,1999-12-03,1367905800
Eventos flores y padilla limitada ,CHILE,2004-08-04,56950249344
Ye & Ca Producciones ,COLOMBIA,1980-12-14,57990126019
Wlaceventos,CHILE,1988-08-27,56912686146
BDD Producciones,CHILE,1996-04-17,56978907370
Producciones Baltimore,ESPAÑA,2004-08-06,34933143000
Event Hire Sydney,AUSTRALIA,2006-07-08,6143432453
Eventos y producciones evolucion s.a,CHILE,1993-02-04,56959998762
AS Relaciones Publicas,COLOMBIA,1990-11-29,57991470816
Ee - servicio de eventos,CHILE,1981-11-27,56994376160
Centro eventos torres de paine,CHILE,1990-11-19,56965706463
Mouro Producciones,ESPAÑA,1989-10-10,34987009709
Centro de convenciones santiago s.a.,CHILE,1984-03-22,56952535504
Janos Eventos,BRASIL,1999-05-30,55951440068
ROT Entertainment,COLOMBIA,2009-08-28,57976489405
Ais producciones,CHILE,2002-12-24,56987054160
Carlos lopez vega productora de eventos,CHILE,1983-09-10,56945993224
Chocolate stage s.a.,CHILE,1994-04-02,56917441369
Hispagenda,BELGICA,1985-10-21,3213773242
Soc giacaman y cia ltda,CHILE,1999-04-25,56928442521
Ethno Nueva Zelanda,NUEVA ZELANDA,1988-01-25,6416660401
Global producciones spa,CHILE,2008-01-01,56986324756
MGC,AUSTRALIA,1989-02-03,6111002225
MEDIOS Y CONTENIDOS PRODUCCIONES ,ARGENTINA,1987-07-26,54977963788
ATIPICA ,ARGENTINA,2007-08-04,54954578274
Medios y contenidos producciones de chile s.a.,CHILE,1998-03-10,56965187907
Virtualia (productora de eventos),CHILE,1982-12-25,56920544795
Expat,BELGICA,1991-04-23,3265898429
GL events,BELGICA,1994-05-14,3227268105
AP Eventos,COLOMBIA,1992-04-08,57938839736
Sociedad comercial mk pro limitada,CHILE,1984-06-10,56980076583
Ramasso Productora,ARGENTINA,1986-03-16,54961624158
Andeschimp spa,CHILE,1992-12-23,56966594257
ESTADIUM LUNA PARK ,ARGENTINA,1996-09-05,54935383652
Latitud music spa,CHILE,1988-07-08,56985573340
Comercial audio tec limitada,CHILE,1985-12-13,56950832829
COMPAÑÍA ARGENTINA DE SUEÑOS ,ARGENTINA,1994-08-25,54950205631
